Valor_Real_Logistica,Prediccion_Logistica,Prob_Logistica_No,Prob_Logistica_Yes,Umbral_Logistica,Prediccion_RedNeuronal,Prob_RedNeuronal_No,Prob_RedNeuronal_Yes,Umbral_RedNeuronal
No,No,0.9151,0.0849,0.58,No,0.9985,0.0015,0.65
No,No,0.527,0.473,0.58,No,0.9238,0.0762,0.65
No,No,0.6473,0.3527,0.58,No,0.9808,0.0192,0.65
Yes,Yes,0.0581,0.9419,0.58,Yes,0.0004,0.9996,0.65
No,No,0.4512,0.5488,0.58,No,0.9998,0.0002,0.65
No,No,0.9489,0.0511,0.58,No,0.9043,0.0957,0.65
No,No,0.9885,0.0115,0.58,No,1.0,0.0,0.65
No,No,0.9623,0.0377,0.58,No,1.0,0.0,0.65
No,No,0.9387,0.0613,0.58,No,0.9933,0.0067,0.65
No,No,0.9431,0.0569,0.58,No,0.9999,0.0001,0.65
No,No,0.9567,0.0433,0.58,No,0.9997,0.0003,0.65
No,No,0.9539,0.0461,0.58,No,0.9999,0.0001,0.65
No,No,0.7912,0.2088,0.58,No,0.9971,0.0029,0.65
No,Yes,0.3552,0.6448,0.58,No,0.9837,0.0163,0.65
No,No,0.5177,0.4823,0.58,Yes,0.0973,0.9027,0.65
No,No,0.6021,0.3979,0.58,No,0.9953,0.0047,0.65
No,No,0.6472,0.3528,0.58,No,0.9877,0.0123,0.65
No,No,0.8842,0.1158,0.58,No,0.9998,0.0002,0.65
No,No,0.9157,0.0843,0.58,No,0.994,0.006,0.65
No,No,0.7353,0.2647,0.58,No,0.993,0.007,0.65
No,No,0.832,0.168,0.58,No,0.9973,0.0027,0.65
No,No,0.7745,0.2255,0.58,No,0.9962,0.0038,0.65
No,No,0.8716,0.1284,0.58,No,0.9871,0.0129,0.65
No,No,0.9132,0.0868,0.58,No,0.9999,0.0001,0.65
Yes,Yes,0.2745,0.7255,0.58,Yes,0.0504,0.9496,0.65
No,No,0.9391,0.0609,0.58,No,1.0,0.0,0.65
No,No,0.93,0.07,0.58,No,0.9998,0.0002,0.65
No,No,0.943,0.057,0.58,No,0.925,0.075,0.65
No,No,0.9508,0.0492,0.58,No,0.994,0.006,0.65
No,No,0.9763,0.0237,0.58,No,0.9513,0.0487,0.65
No,No,0.9174,0.0826,0.58,No,0.9715,0.0285,0.65
No,No,0.8369,0.1631,0.58,No,0.9932,0.0068,0.65
No,No,0.8663,0.1337,0.58,Yes,0.2198,0.7802,0.65
No,No,0.9492,0.0508,0.58,No,0.9999,0.0001,0.65
No,No,0.941,0.059,0.58,No,0.9964,0.0036,0.65
No,No,0.5822,0.4178,0.58,No,0.5677,0.4323,0.65
No,No,0.9462,0.0538,0.58,No,0.9994,0.0006,0.65
No,No,0.9212,0.0788,0.58,No,0.9998,0.0002,0.65
No,No,0.9735,0.0265,0.58,No,1.0,0.0,0.65
No,No,0.9394,0.0606,0.58,No,0.9985,0.0015,0.65
No,No,0.8824,0.1176,0.58,No,0.9899,0.0101,0.65
No,No,0.8988,0.1012,0.58,No,1.0,0.0,0.65
No,No,0.9156,0.0844,0.58,No,0.8321,0.1679,0.65
No,No,0.5516,0.4484,0.58,Yes,0.1385,0.8615,0.65
No,No,0.9003,0.0997,0.58,No,0.9911,0.0089,0.65
No,No,0.8644,0.1356,0.58,No,0.974,0.026,0.65
No,No,0.9633,0.0367,0.58,No,1.0,0.0,0.65
No,No,0.9534,0.0466,0.58,No,0.9998,0.0002,0.65
No,No,0.96,0.04,0.58,No,1.0,0.0,0.65
No,No,0.9637,0.0363,0.58,No,0.9998,0.0002,0.65
Yes,No,0.7051,0.2949,0.58,No,0.4881,0.5119,0.65
No,No,0.8797,0.1203,0.58,No,1.0,0.0,0.65
Yes,Yes,0.1181,0.8819,0.58,Yes,0.0013,0.9987,0.65
Yes,Yes,0.2262,0.7738,0.58,No,0.3707,0.6293,0.65
Yes,Yes,0.0477,0.9523,0.58,Yes,0.0,1.0,0.65
No,No,0.5968,0.4032,0.58,No,0.968,0.032,0.65
No,No,0.8637,0.1363,0.58,No,0.9152,0.0848,0.65
No,No,0.9003,0.0997,0.58,No,0.9963,0.0037,0.65
No,No,0.8795,0.1205,0.58,No,0.8734,0.1266,0.65
No,No,0.9569,0.0431,0.58,No,1.0,0.0,0.65
No,No,0.9779,0.0221,0.58,No,1.0,0.0,0.65
No,No,0.9684,0.0316,0.58,No,0.998,0.002,0.65
No,No,0.9449,0.0551,0.58,No,0.9984,0.0016,0.65
No,No,0.9401,0.0599,0.58,No,0.9999,0.0001,0.65
No,No,0.9086,0.0914,0.58,No,0.9994,0.0006,0.65
Yes,Yes,0.3954,0.6046,0.58,Yes,0.1743,0.8257,0.65
No,No,0.8454,0.1546,0.58,No,0.9363,0.0637,0.65
No,No,0.9115,0.0885,0.58,No,0.9867,0.0133,0.65
No,No,0.9731,0.0269,0.58,No,0.9999,0.0001,0.65
No,No,0.9583,0.0417,0.58,No,1.0,0.0,0.65
No,No,0.977,0.023,0.58,No,0.9985,0.0015,0.65
No,No,0.9561,0.0439,0.58,No,0.9998,0.0002,0.65
No,No,0.9596,0.0404,0.58,No,1.0,0.0,0.65
Yes,No,0.9396,0.0604,0.58,No,0.9972,0.0028,0.65
Yes,Yes,0.0184,0.9816,0.58,Yes,0.0042,0.9958,0.65
No,No,0.8522,0.1478,0.58,No,0.9999,0.0001,0.65
No,No,0.8814,0.1186,0.58,No,0.9998,0.0002,0.65
No,No,0.9778,0.0222,0.58,No,1.0,0.0,0.65
No,No,0.9636,0.0364,0.58,No,0.9999,0.0001,0.65
No,No,0.9468,0.0532,0.58,No,0.9978,0.0022,0.65
No,No,0.9644,0.0356,0.58,No,0.9995,0.0005,0.65
Yes,No,0.5387,0.4613,0.58,Yes,0.0821,0.9179,0.65
Yes,No,0.4681,0.5319,0.58,No,0.8854,0.1146,0.65
No,No,0.749,0.251,0.58,No,0.9998,0.0002,0.65
No,No,0.9377,0.0623,0.58,No,0.9992,0.0008,0.65
No,No,0.7933,0.2067,0.58,No,0.9896,0.0104,0.65
No,No,0.916,0.084,0.58,No,0.999,0.001,0.65
No,No,0.9461,0.0539,0.58,No,0.9999,0.0001,0.65
No,No,0.9467,0.0533,0.58,No,0.9999,0.0001,0.65
No,No,0.9075,0.0925,0.58,No,0.9995,0.0005,0.65
No,No,0.9145,0.0855,0.58,No,0.9996,0.0004,0.65
No,No,0.9524,0.0476,0.58,No,1.0,0.0,0.65
No,No,0.9185,0.0815,0.58,No,0.8006,0.1994,0.65
No,No,0.9523,0.0477,0.58,No,0.9999,0.0001,0.65
No,No,0.9026,0.0974,0.58,No,0.9852,0.0148,0.65
Yes,Yes,0.0186,0.9814,0.58,Yes,0.0007,0.9993,0.65
Yes,Yes,0.0037,0.9963,0.58,Yes,0.0007,0.9993,0.65
Yes,Yes,0.1684,0.8316,0.58,Yes,0.2246,0.7754,0.65
Yes,Yes,0.2721,0.7279,0.58,No,0.377,0.623,0.65
No,No,0.932,0.068,0.58,No,0.9999,0.0001,0.65
No,No,0.8597,0.1403,0.58,No,1.0,0.0,0.65
No,No,0.9619,0.0381,0.58,No,1.0,0.0,0.65
No,No,0.9249,0.0751,0.58,No,0.9985,0.0015,0.65
No,No,0.7722,0.2278,0.58,No,0.9996,0.0004,0.65
No,No,0.8447,0.1553,0.58,No,0.9797,0.0203,0.65
No,No,0.9634,0.0366,0.58,No,1.0,0.0,0.65
No,No,0.9652,0.0348,0.58,No,0.9947,0.0053,0.65
No,No,0.815,0.185,0.58,No,0.9981,0.0019,0.65
No,No,0.8889,0.1111,0.58,No,0.9999,0.0001,0.65
No,No,0.9757,0.0243,0.58,No,0.9999,0.0001,0.65
No,No,0.9213,0.0787,0.58,No,0.9994,0.0006,0.65
No,No,0.9581,0.0419,0.58,No,0.9986,0.0014,0.65
No,No,0.8315,0.1685,0.58,No,0.5479,0.4521,0.65
No,No,0.8346,0.1654,0.58,No,0.9671,0.0329,0.65
No,No,0.5426,0.4574,0.58,Yes,0.1698,0.8302,0.65
No,Yes,0.3901,0.6099,0.58,No,0.884,0.116,0.65
Yes,Yes,0.1764,0.8236,0.58,No,0.7763,0.2237,0.65
No,No,0.4248,0.5752,0.58,No,0.9559,0.0441,0.65
No,No,0.5972,0.4028,0.58,No,0.9065,0.0935,0.65
No,No,0.9721,0.0279,0.58,No,0.9989,0.0011,0.65
No,No,0.8086,0.1914,0.58,No,0.8901,0.1099,0.65
No,No,0.725,0.275,0.58,No,0.8208,0.1792,0.65
No,No,0.8935,0.1065,0.58,No,0.9949,0.0051,0.65
No,No,0.9013,0.0987,0.58,No,0.9772,0.0228,0.65
No,No,0.8849,0.1151,0.58,No,0.6334,0.3666,0.65
No,No,0.9209,0.0791,0.58,No,0.9677,0.0323,0.65
Yes,No,0.5922,0.4078,0.58,No,0.7636,0.2364,0.65
No,No,0.5338,0.4662,0.58,No,0.92,0.08,0.65
No,No,0.7125,0.2875,0.58,No,0.9895,0.0105,0.65
No,No,0.9276,0.0724,0.58,No,0.9967,0.0033,0.65
No,No,0.8973,0.1027,0.58,No,0.9836,0.0164,0.65
No,No,0.9525,0.0475,0.58,No,0.994,0.006,0.65
Yes,No,0.8725,0.1275,0.58,Yes,0.0025,0.9975,0.65
Yes,Yes,0.3533,0.6467,0.58,Yes,0.1871,0.8129,0.65
Yes,Yes,0.3749,0.6251,0.58,Yes,0.2944,0.7056,0.65
Yes,Yes,0.0892,0.9108,0.58,Yes,0.0027,0.9973,0.65
No,No,0.6217,0.3783,0.58,No,1.0,0.0,0.65
No,No,0.6189,0.3811,0.58,No,0.8932,0.1068,0.65
Yes,Yes,0.0986,0.9014,0.58,Yes,0.0027,0.9973,0.65
Yes,Yes,0.0999,0.9001,0.58,No,0.6462,0.3538,0.65
Yes,Yes,0.1197,0.8803,0.58,Yes,0.0764,0.9236,0.65
Yes,Yes,0.022,0.978,0.58,Yes,0.0,1.0,0.65
No,No,0.7744,0.2256,0.58,No,0.9927,0.0073,0.65
No,No,0.7829,0.2171,0.58,No,0.9999,0.0001,0.65
No,No,0.4979,0.5021,0.58,No,0.9716,0.0284,0.65
No,No,0.6416,0.3584,0.58,Yes,0.0124,0.9876,0.65
No,No,0.7434,0.2566,0.58,No,0.3958,0.6042,0.65
No,No,0.7349,0.2651,0.58,No,0.9362,0.0638,0.65
No,No,0.9374,0.0626,0.58,No,0.9989,0.0011,0.65
No,No,0.9284,0.0716,0.58,No,1.0,0.0,0.65
No,No,0.8069,0.1931,0.58,No,0.9998,0.0002,0.65
